x,rho(x),R(x),V(rho)
-4.914914914914914945e+00,1.000000000006457279e+00,-1.853967172264724737e-09,2.084822704812494990e-23
-4.894894894894894932e+00,1.000000000007858381e+00,-2.237890450425070903e-09,3.087707292861530151e-23
-4.874874874874874919e+00,1.000000000009556134e+00,-2.698265983108636466e-09,4.565984528452010423e-23
-4.854854854854854906e+00,1.000000000011611156e+00,-3.250467321495732695e-09,6.740947741011219915e-23
-4.834834834834834894e+00,1.000000000014096946e+00,-3.912776526448972625e-09,9.936194090751243576e-23
-4.814814814814814881e+00,1.000000000017100987e+00,-4.706799669896219334e-09,1.462218831960698532e-22
-4.794794794794794868e+00,1.000000000020728752e+00,-5.656220330680243306e-09,2.148405807372844401e-22
-4.774774774774774855e+00,1.000000000025106139e+00,-6.790539107007659626e-09,3.151591175266050623e-22
-4.754754754754754842e+00,1.000000000030383251e+00,-8.147151123364366849e-09,4.615709849541000733e-22
-4.734734734734734829e+00,1.000000000036740166e+00,-9.766360013914665350e-09,6.749199159273173787e-22
-4.714714714714714816e+00,1.000000000044391602e+00,-1.169677944048203846e-08,9.853071421258538754e-22
-4.694694694694694803e+00,1.000000000053593352e+00,-1.399782610084600046e-08,1.436123688146784572e-21
-4.674674674674674790e+00,1.000000000064650729e+00,-1.673764222182164907e-08,2.089858393988282631e-21
-4.654654654654654777e+00,1.000000000077926998e+00,-1.999600406893703088e-08,3.036308523268971058e-21
-4.634634634634634764e+00,1.000000000093854480e+00,-2.386847696025790455e-08,4.404331683964060772e-21
-4.614614614614614752e+00,1.000000000112946541e+00,-2.846807727190945300e-08,6.378460562925815491e-21
-4.594594594594594739e+00,1.000000000135813583e+00,-3.392485693667733072e-08,9.222664609648839180e-21
-4.574574574574574726e+00,1.000000000163179470e+00,-4.039338246888426549e-08,1.331376970435911623e-20
-4.554554554554554713e+00,1.000000000195902183e+00,-4.805522797265838103e-08,1.918883272342693972e-20
-4.534534534534534700e+00,1.000000000234998687e+00,-5.712146815018941305e-08,2.761219148730579709e-20
-4.514514514514514687e+00,1.000000000281671575e+00,-6.784181933209935570e-08,3.966943806830231287e-20
-4.494494494494494674e+00,1.000000000337343709e+00,-8.050588598150767242e-08,5.690038884002808685e-20
-4.474474474474474661e+00,1.000000000403695744e+00,-9.545313272711158782e-08,8.148512666021906850e-20
-4.454454454454454648e+00,1.000000000482711204e+00,-1.130803633879204937e-07,1.165050533984168204e-19
-4.434434434434434635e+00,1.000000000576730219e+00,-1.338491999979284293e-07,1.663088728330727927e-19
-4.414414414414414622e+00,1.000000000688509028e+00,-1.582997943514459360e-07,2.370223405218565613e-19
-4.394394394394394610e+00,1.000000000821293922e+00,-1.870578915261837042e-07,3.372618529599624527e-19
